Sistema,HYLMUS
BOSQUE,0
BOSQUE,0
BOSQUE,0.333333333
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
BOSQUE,0
DAI,0
DAI,0.333333333
DAI,0
DAI,0
DAI,0.666666667
DAI,0
DAI,0
DAI,0
DAI,0
DAI,0
DAI,0
DAI,0
DAI,0
DAI,0.333333333
DAI,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0.333333333
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOL,0
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0.666666667
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0.333333333
SOMBRA,0
SOMBRA,0
SOMBRA,0
SOMBRA,0.333333333
